image_id,category_id,bbox,area,file_name,height,width,category_full_name,annotate_id,coord_tl,coord_br,category_color_name,category_piece_name
0,10,"[959, 767, 107, 161]",17227,0301b7f9ed4d5ba503fda79fc4370c29.jpg,1529,2284,white-pawn,0,"[959, 767]","[1066, 928]",white,pawn
1,5,"[1127, 229, 129, 257]",33153,00bc0cacffdebe6b11bdeec56f63ee49.jpg,1529,2284,black-queen,1,"[1127, 229]","[1256, 486]",black,queen
2,4,"[1163, 614, 104, 154]",16016,03886821377011fec599e8fa12d86e89.jpg,1529,2284,black-pawn,2,"[1163, 614]","[1267, 768]",black,pawn
3,10,"[565, 172, 133, 167]",22211,040f2bcba5afce3afafdd5bbf36d2ca5.jpg,1529,2284,white-pawn,3,"[565, 172]","[698, 339]",white,pawn
3,7,"[946, 552, 137, 214]",29318,040f2bcba5afce3afafdd5bbf36d2ca5.jpg,1529,2284,white-bishop,4,"[946, 552]","[1083, 766]",white,bishop
3,8,"[292, 311, 175, 314]",54950,040f2bcba5afce3afafdd5bbf36d2ca5.jpg,1529,2284,white-king,5,"[292, 311]","[467, 625]",white,king
3,11,"[721, 94, 144, 273]",39312,040f2bcba5afce3afafdd5bbf36d2ca5.jpg,1529,2284,white-queen,6,"[721, 94]","[865, 367]",white,queen
3,12,"[928, 423, 138, 196]",27048,040f2bcba5afce3afafdd5bbf36d2ca5.jpg,1529,2284,white-rook,7,"[928, 423]","[1066, 619]",white,rook
3,9,"[955, 873, 153, 238]",36414,040f2bcba5afce3afafdd5bbf36d2ca5.jpg,1529,2284,white-knight,8,"[955, 873]","[1108, 1111]",white,knight
3,10,"[527, 424, 129, 181]",23349,040f2bcba5afce3afafdd5bbf36d2ca5.jpg,1529,2284,white-pawn,9,"[527, 424]","[656, 605]",white,pawn
3,10,"[742, 763, 135, 187]",25245,040f2bcba5afce3afafdd5bbf36d2ca5.jpg,1529,2284,white-pawn,10,"[742, 763]","[877, 950]",white,pawn
3,6,"[553, 9, 132, 194]",25608,040f2bcba5afce3afafdd5bbf36d2ca5.jpg,1529,2284,black-rook,11,"[553, 9]","[685, 203]",black,rook
3,3,"[481, 866, 157, 242]",37994,040f2bcba5afce3afafdd5bbf36d2ca5.jpg,1529,2284,black-knight,12,"[481, 866]","[638, 1108]",black,knight
3,2,"[1658, 302, 204, 315]",64260,040f2bcba5afce3afafdd5bbf36d2ca5.jpg,1529,2284,black-king,13,"[1658, 302]","[1862, 617]",black,king
3,4,"[1173, 925, 130, 183]",23790,040f2bcba5afce3afafdd5bbf36d2ca5.jpg,1529,2284,black-pawn,14,"[1173, 925]","[1303, 1108]",black,pawn
3,4,"[1292, 450, 112, 174]",19488,040f2bcba5afce3afafdd5bbf36d2ca5.jpg,1529,2284,black-pawn,15,"[1292, 450]","[1404, 624]",black,pawn
3,4,"[1322, 730, 129, 191]",24639,040f2bcba5afce3afafdd5bbf36d2ca5.jpg,1529,2284,black-pawn,16,"[1322, 730]","[1451, 921]",black,pawn
4,8,"[1105, 0, 121, 227]",27467,0115e4df73475b550e5c6f7a88b2474f.jpg,1529,2284,white-king,17,"[1105, 0]","[1226, 227]",white,king
5,7,"[1159, 559, 116, 205]",23780,02f0931b536dfba10affc3231a3d64fb.jpg,1529,2284,white-bishop,18,"[1159, 559]","[1275, 764]",white,bishop
6,5,"[1709, 334, 158, 243]",38394,03d3ff4582c8125d69c19a72f846bec8.jpg,1529,2284,black-queen,19,"[1709, 334]","[1867, 577]",black,queen
6,2,"[1720, 425, 172, 279]",47988,03d3ff4582c8125d69c19a72f846bec8.jpg,1529,2284,black-king,20,"[1720, 425]","[1892, 704]",black,king
6,1,"[1785, 651, 138, 203]",28014,03d3ff4582c8125d69c19a72f846bec8.jpg,1529,2284,black-bishop,21,"[1785, 651]","[1923, 854]",black,bishop
6,1,"[1666, 229, 119, 189]",22491,03d3ff4582c8125d69c19a72f846bec8.jpg,1529,2284,black-bishop,22,"[1666, 229]","[1785, 418]",black,bishop
6,3,"[1636, 120, 129, 174]",22446,03d3ff4582c8125d69c19a72f846bec8.jpg,1529,2284,black-knight,23,"[1636, 120]","[1765, 294]",black,knight
6,3,"[1805, 839, 168, 181]",30408,03d3ff4582c8125d69c19a72f846bec8.jpg,1529,2284,black-knight,24,"[1805, 839]","[1973, 1020]",black,knight
6,6,"[1842, 1025, 163, 195]",31785,03d3ff4582c8125d69c19a72f846bec8.jpg,1529,2284,black-rook,25,"[1842, 1025]","[2005, 1220]",black,rook
6,6,"[1639, 21, 112, 157]",17584,03d3ff4582c8125d69c19a72f846bec8.jpg,1529,2284,black-rook,26,"[1639, 21]","[1751, 178]",black,rook
6,4,"[1463, 30, 91, 143]",13013,03d3ff4582c8125d69c19a72f846bec8.jpg,1529,2284,black-pawn,27,"[1463, 30]","[1554, 173]",black,pawn
6,4,"[1477, 152, 89, 140]",12460,03d3ff4582c8125d69c19a72f846bec8.jpg,1529,2284,black-pawn,28,"[1477, 152]","[1566, 292]",black,pawn
6,4,"[1501, 275, 95, 144]",13680,03d3ff4582c8125d69c19a72f846bec8.jpg,1529,2284,black-pawn,29,"[1501, 275]","[1596, 419]",black,pawn
6,4,"[1520, 397, 93, 145]",13485,03d3ff4582c8125d69c19a72f846bec8.jpg,1529,2284,black-pawn,30,"[1520, 397]","[1613, 542]",black,pawn
6,4,"[1541, 540, 108, 147]",15876,03d3ff4582c8125d69c19a72f846bec8.jpg,1529,2284,black-pawn,31,"[1541, 540]","[1649, 687]",black,pawn
6,4,"[1561, 700, 119, 156]",18564,03d3ff4582c8125d69c19a72f846bec8.jpg,1529,2284,black-pawn,32,"[1561, 700]","[1680, 856]",black,pawn
6,4,"[1601, 860, 110, 165]",18150,03d3ff4582c8125d69c19a72f846bec8.jpg,1529,2284,black-pawn,33,"[1601, 860]","[1711, 1025]",black,pawn
6,4,"[1631, 1047, 119, 162]",19278,03d3ff4582c8125d69c19a72f846bec8.jpg,1529,2284,black-pawn,34,"[1631, 1047]","[1750, 1209]",black,pawn
6,11,"[364, 298, 134, 255]",34170,03d3ff4582c8125d69c19a72f846bec8.jpg,1529,2284,white-queen,35,"[364, 298]","[498, 553]",white,queen
6,8,"[327, 410, 151, 292]",44092,03d3ff4582c8125d69c19a72f846bec8.jpg,1529,2284,white-king,36,"[327, 410]","[478, 702]",white,king
6,7,"[391, 208, 109, 203]",22127,03d3ff4582c8125d69c19a72f846bec8.jpg,1529,2284,white-bishop,37,"[391, 208]","[500, 411]",white,bishop
6,7,"[309, 648, 124, 197]",24428,03d3ff4582c8125d69c19a72f846bec8.jpg,1529,2284,white-bishop,38,"[309, 648]","[433, 845]",white,bishop
6,9,"[422, 97, 117, 190]",22230,03d3ff4582c8125d69c19a72f846bec8.jpg,1529,2284,white-knight,39,"[422, 97]","[539, 287]",white,knight
6,9,"[316, 815, 140, 211]",29540,03d3ff4582c8125d69c19a72f846bec8.jpg,1529,2284,white-knight,40,"[316, 815]","[456, 1026]",white,knight
6,12,"[247, 1041, 153, 203]",31059,03d3ff4582c8125d69c19a72f846bec8.jpg,1529,2284,white-rook,41,"[247, 1041]","[400, 1244]",white,rook
6,12,"[430, 0, 105, 159]",16695,03d3ff4582c8125d69c19a72f846bec8.jpg,1529,2284,white-rook,42,"[430, 0]","[535, 159]",white,rook
6,10,"[603, 141, 98, 146]",14308,03d3ff4582c8125d69c19a72f846bec8.jpg,1529,2284,white-pawn,43,"[603, 141]","[701, 287]",white,pawn
6,10,"[611, 17, 90, 146]",13140,03d3ff4582c8125d69c19a72f846bec8.jpg,1529,2284,white-pawn,44,"[611, 17]","[701, 163]",white,pawn
6,10,"[601, 268, 93, 145]",13485,03d3ff4582c8125d69c19a72f846bec8.jpg,1529,2284,white-pawn,45,"[601, 268]","[694, 413]",white,pawn
6,10,"[585, 397, 99, 153]",15147,03d3ff4582c8125d69c19a72f846bec8.jpg,1529,2284,white-pawn,46,"[585, 397]","[684, 550]",white,pawn
6,10,"[582, 551, 103, 149]",15347,03d3ff4582c8125d69c19a72f846bec8.jpg,1529,2284,white-pawn,47,"[582, 551]","[685, 700]",white,pawn
6,10,"[558, 712, 104, 145]",15080,03d3ff4582c8125d69c19a72f846bec8.jpg,1529,2284,white-pawn,48,"[558, 712]","[662, 857]",white,pawn
6,10,"[550, 860, 112, 156]",17472,03d3ff4582c8125d69c19a72f846bec8.jpg,1529,2284,white-pawn,49,"[550, 860]","[662, 1016]",white,pawn
6,10,"[506, 1042, 139, 167]",23213,03d3ff4582c8125d69c19a72f846bec8.jpg,1529,2284,white-pawn,50,"[506, 1042]","[645, 1209]",white,pawn
7,6,"[1092, 188, 126, 186]",23436,04aed88a8d23cf27e47806eb23948495.jpg,1529,2284,black-rook,51,"[1092, 188]","[1218, 374]",black,rook
7,4,"[1116, 440, 101, 165]",16665,04aed88a8d23cf27e47806eb23948495.jpg,1529,2284,black-pawn,52,"[1116, 440]","[1217, 605]",black,pawn
7,2,"[1125, 637, 171, 307]",52497,04aed88a8d23cf27e47806eb23948495.jpg,1529,2284,black-king,53,"[1125, 637]","[1296, 944]",black,king
7,8,"[719, 325, 140, 298]",41720,04aed88a8d23cf27e47806eb23948495.jpg,1529,2284,white-king,54,"[719, 325]","[859, 623]",white,king
7,7,"[546, 551, 146, 219]",31974,04aed88a8d23cf27e47806eb23948495.jpg,1529,2284,white-bishop,55,"[546, 551]","[692, 770]",white,bishop
7,10,"[927, 433, 110, 169]",18590,04aed88a8d23cf27e47806eb23948495.jpg,1529,2284,white-pawn,56,"[927, 433]","[1037, 602]",white,pawn
7,10,"[523, 935, 121, 177]",21417,04aed88a8d23cf27e47806eb23948495.jpg,1529,2284,white-pawn,57,"[523, 935]","[644, 1112]",white,pawn
8,12,"[381, 42, 140, 195]",27300,05ad7223827a29a8283f6c4b2490f52f.jpg,1529,2284,white-rook,58,"[381, 42]","[521, 237]",white,rook
8,8,"[294, 315, 180, 311]",55980,05ad7223827a29a8283f6c4b2490f52f.jpg,1529,2284,white-king,59,"[294, 315]","[474, 626]",white,king
8,11,"[706, 72, 160, 297]",47520,05ad7223827a29a8283f6c4b2490f52f.jpg,1529,2284,white-queen,60,"[706, 72]","[866, 369]",white,queen
8,7,"[750, 538, 138, 228]",31464,05ad7223827a29a8283f6c4b2490f52f.jpg,1529,2284,white-bishop,61,"[750, 538]","[888, 766]",white,bishop
8,7,"[351, 119, 148, 229]",33892,05ad7223827a29a8283f6c4b2490f52f.jpg,1529,2284,white-bishop,62,"[351, 119]","[499, 348]",white,bishop
8,9,"[442, 1080, 185, 249]",46065,05ad7223827a29a8283f6c4b2490f52f.jpg,1529,2284,white-knight,63,"[442, 1080]","[627, 1329]",white,knight
