area,bbox,category_id,image_id,file_name,height,width,category_full_name,annotate_id,coord_tl,coord_br,category_color_name,category_piece_name
17227,"[959, 767, 107, 161]",10,0,0301b7f9ed4d5ba503fda79fc4370c29.jpg,1529,2284,white-pawn,0,"[959, 767]","[1066, 928]",white,pawn
33153,"[1127, 229, 129, 257]",5,1,00bc0cacffdebe6b11bdeec56f63ee49.jpg,1529,2284,black-queen,1,"[1127, 229]","[1256, 486]",black,queen
16016,"[1163, 614, 104, 154]",4,2,03886821377011fec599e8fa12d86e89.jpg,1529,2284,black-pawn,2,"[1163, 614]","[1267, 768]",black,pawn
22211,"[565, 172, 133, 167]",10,3,040f2bcba5afce3afafdd5bbf36d2ca5.jpg,1529,2284,white-pawn,3,"[565, 172]","[698, 339]",white,pawn
29318,"[946, 552, 137, 214]",7,3,040f2bcba5afce3afafdd5bbf36d2ca5.jpg,1529,2284,white-bishop,4,"[946, 552]","[1083, 766]",white,bishop
54950,"[292, 311, 175, 314]",8,3,040f2bcba5afce3afafdd5bbf36d2ca5.jpg,1529,2284,white-king,5,"[292, 311]","[467, 625]",white,king
39312,"[721, 94, 144, 273]",11,3,040f2bcba5afce3afafdd5bbf36d2ca5.jpg,1529,2284,white-queen,6,"[721, 94]","[865, 367]",white,queen
27048,"[928, 423, 138, 196]",12,3,040f2bcba5afce3afafdd5bbf36d2ca5.jpg,1529,2284,white-rook,7,"[928, 423]","[1066, 619]",white,rook
36414,"[955, 873, 153, 238]",9,3,040f2bcba5afce3afafdd5bbf36d2ca5.jpg,1529,2284,white-knight,8,"[955, 873]","[1108, 1111]",white,knight
23349,"[527, 424, 129, 181]",10,3,040f2bcba5afce3afafdd5bbf36d2ca5.jpg,1529,2284,white-pawn,9,"[527, 424]","[656, 605]",white,pawn
25245,"[742, 763, 135, 187]",10,3,040f2bcba5afce3afafdd5bbf36d2ca5.jpg,1529,2284,white-pawn,10,"[742, 763]","[877, 950]",white,pawn
25608,"[553, 9, 132, 194]",6,3,040f2bcba5afce3afafdd5bbf36d2ca5.jpg,1529,2284,black-rook,11,"[553, 9]","[685, 203]",black,rook
37994,"[481, 866, 157, 242]",3,3,040f2bcba5afce3afafdd5bbf36d2ca5.jpg,1529,2284,black-knight,12,"[481, 866]","[638, 1108]",black,knight
64260,"[1658, 302, 204, 315]",2,3,040f2bcba5afce3afafdd5bbf36d2ca5.jpg,1529,2284,black-king,13,"[1658, 302]","[1862, 617]",black,king
23790,"[1173, 925, 130, 183]",4,3,040f2bcba5afce3afafdd5bbf36d2ca5.jpg,1529,2284,black-pawn,14,"[1173, 925]","[1303, 1108]",black,pawn
19488,"[1292, 450, 112, 174]",4,3,040f2bcba5afce3afafdd5bbf36d2ca5.jpg,1529,2284,black-pawn,15,"[1292, 450]","[1404, 624]",black,pawn
24639,"[1322, 730, 129, 191]",4,3,040f2bcba5afce3afafdd5bbf36d2ca5.jpg,1529,2284,black-pawn,16,"[1322, 730]","[1451, 921]",black,pawn
27467,"[1105, 0, 121, 227]",8,4,0115e4df73475b550e5c6f7a88b2474f.jpg,1529,2284,white-king,17,"[1105, 0]","[1226, 227]",white,king
23780,"[1159, 559, 116, 205]",7,5,02f0931b536dfba10affc3231a3d64fb.jpg,1529,2284,white-bishop,18,"[1159, 559]","[1275, 764]",white,bishop
38394,"[1709, 334, 158, 243]",5,6,03d3ff4582c8125d69c19a72f846bec8.jpg,1529,2284,black-queen,19,"[1709, 334]","[1867, 577]",black,queen
47988,"[1720, 425, 172, 279]",2,6,03d3ff4582c8125d69c19a72f846bec8.jpg,1529,2284,black-king,20,"[1720, 425]","[1892, 704]",black,king
28014,"[1785, 651, 138, 203]",1,6,03d3ff4582c8125d69c19a72f846bec8.jpg,1529,2284,black-bishop,21,"[1785, 651]","[1923, 854]",black,bishop
22491,"[1666, 229, 119, 189]",1,6,03d3ff4582c8125d69c19a72f846bec8.jpg,1529,2284,black-bishop,22,"[1666, 229]","[1785, 418]",black,bishop
22446,"[1636, 120, 129, 174]",3,6,03d3ff4582c8125d69c19a72f846bec8.jpg,1529,2284,black-knight,23,"[1636, 120]","[1765, 294]",black,knight
