,fn,label,actual,pred,loss
0,02c00099_white-pawn.jpg,white-pawn,9,9,5.53131103515625e-05
1,01c00030_white-rook.jpg,white-rook,11,11,0.1103677749633789
2,02c00015_white-knight.jpg,white-knight,8,8,0.038315773010253906
3,01c00027_white-knight.jpg,white-knight,8,8,0.11957454681396484
4,01c00048_white-king.jpg,white-king,7,7,0.04142045974731445
5,01c00008_white-queen.jpg,white-queen,10,10,0.005345821380615234
6,01c00051_black-pawn.jpg,black-pawn,3,3,0.2980828285217285
7,02c00021_black-king.jpg,black-king,1,1,0.017024993896484375
8,02c00000_black-rook.jpg,black-rook,5,5,0.004119873046875
9,02c00025_white-king.jpg,white-king,7,7,0.04983997344970703
10,02c00008_white-king.jpg,white-king,7,7,0.07053041458129883
11,02c00146_black-pawn.jpg,black-pawn,3,5,1.204226016998291
12,02c00086_white-rook.jpg,white-rook,11,11,0.0020999908447265625
13,02c00167_white-queen.jpg,white-queen,10,9,2.252722978591919
14,02c00002_black-pawn.jpg,black-pawn,3,3,0.00021076202392578125
15,01c00049_white-pawn.jpg,white-pawn,9,9,0.0018053054809570312
16,02c00064_white-king.jpg,white-king,7,6,1.8871283531188965
17,02c00096_black-queen.jpg,black-queen,4,4,1.621246337890625e-05
18,01c00047_black-pawn.jpg,black-pawn,3,3,0.5796961784362793
19,02c00141_black-pawn.jpg,black-pawn,3,3,0.10318756103515625
20,02c00115_black-bishop.jpg,black-bishop,0,1,0.8948936462402344
21,02c00149_white-knight.jpg,white-knight,8,8,0.05802631378173828
22,01c00046_white-pawn.jpg,white-pawn,9,9,0.004986286163330078
23,02c00047_black-knight.jpg,black-knight,2,2,0.03241682052612305
24,02c00040_white-knight.jpg,white-knight,8,8,0.07344722747802734
25,02c00038_white-pawn.jpg,white-pawn,9,9,0.0034046173095703125
26,02c00003_white-knight.jpg,white-knight,8,8,0.008292198181152344
27,02c00020_black-rook.jpg,black-rook,5,5,0.009490013122558594
28,02c00079_white-pawn.jpg,white-pawn,9,9,0.00044345855712890625
29,01c00022_black-king.jpg,black-king,1,1,0.03589010238647461
30,02c00151_black-knight.jpg,black-knight,2,2,0.08611488342285156
31,01c00035_black-knight.jpg,black-knight,2,2,0.011832237243652344
32,02c00150_white-king.jpg,white-king,7,8,1.7150404453277588
33,02c00137_white-king.jpg,white-king,7,7,0.5625815391540527
34,02c00061_white-rook.jpg,white-rook,11,11,0.00014019012451171875
35,02c00116_white-pawn.jpg,white-pawn,9,9,0.016961097717285156
36,02c00063_black-bishop.jpg,black-bishop,0,0,0.10375165939331055
37,01c00014_white-pawn.jpg,white-pawn,9,9,0.00023651123046875
38,01c00007_white-rook.jpg,white-rook,11,11,0.03046274185180664
39,02c00044_black-rook.jpg,black-rook,5,5,0.002239227294921875
40,02c00148_black-bishop.jpg,black-bishop,0,0,0.8188514709472656
41,01c00028_black-pawn.jpg,black-pawn,3,5,1.6506285667419434
42,01c00034_black-king.jpg,black-king,1,1,0.014191150665283203
